provincia_iso,sexo,grupo_edad,fecha,num_casos,num_hosp,num_uci,num_def
TF,M,80+,2020-01-01,0,0,0,0
TF,NC,60-69,2020-01-01,0,0,0,0
TF,NC,70-79,2020-01-01,0,0,0,0
TF,NC,80+,2020-01-01,0,0,0,0
TO,H,60-69,2020-01-01,0,0,0,0
TO,H,70-79,2020-01-01,0,0,0,0
TO,H,80+,2020-01-01,0,0,0,0
TO,M,60-69,2020-01-01,0,0,0,0
TO,M,70-79,2020-01-01,0,0,0,0
TO,M,80+,2020-01-01,0,0,0,0
TO,NC,60-69,2020-01-01,0,0,0,0
TO,NC,70-79,2020-01-01,0,0,0,0
TO,NC,80+,2020-01-01,0,0,0,0
V,H,60-69,2020-01-01,0,0,0,0
V,H,70-79,2020-01-01,0,0,0,0
V,H,80+,2020-01-01,0,1,0,0
V,M,60-69,2020-01-01,0,0,0,0
V,M,70-79,2020-01-01,0,0,0,0
V,M,80+,2020-01-01,0,0,0,0
V,NC,60-69,2020-01-01,0,0,0,0
V,NC,70-79,2020-01-01,0,0,0,0
V,NC,80+,2020-01-01,0,0,0,0
VA,H,60-69,2020-01-01,0,0,0,0
VA,H,70-79,2020-01-01,0,0,0,0
VA,H,80+,2020-01-01,0,0,0,0
VA,M,60-69,2020-01-01,0,0,0,0
VA,M,70-79,2020-01-01,0,0,0,0
VA,M,80+,2020-01-01,0,0,0,0
VA,NC,60-69,2020-01-01,0,0,0,0
VA,NC,70-79,2020-01-01,0,0,0,0
VA,NC,80+,2020-01-01,0,0,0,0
VI,H,60-69,2020-01-01,0,0,0,0
VI,H,70-79,2020-01-01,0,0,0,0
VI,H,80+,2020-01-01,0,0,0,0
VI,M,60-69,2020-01-01,0,0,0,0
VI,M,70-79,2020-01-01,0,0,0,0
VI,M,80+,2020-01-01,0,0,0,0
VI,NC,60-69,2020-01-01,0,0,0,0
VI,NC,70-79,2020-01-01,0,0,0,0
VI,NC,80+,2020-01-01,0,0,0,0
Z,H,60-69,2020-01-01,0,0,0,0
Z,H,70-79,2020-01-01,0,0,0,0
Z,H,80+,2020-01-01,0,0,0,0
Z,M,60-69,2020-01-01,0,0,0,0
Z,M,70-79,2020-01-01,0,0,0,0
Z,M,80+,2020-01-01,0,0,0,0
Z,NC,60-69,2020-01-01,0,0,0,0
Z,NC,70-79,2020-01-01,0,0,0,0
Z,NC,80+,2020-01-01,0,0,0,0
ZA,H,60-69,2020-01-01,0,0,0,0
ZA,H,70-79,2020-01-01,0,0,0,0
ZA,H,80+,2020-01-01,0,0,0,0
ZA,M,60-69,2020-01-01,0,0,0,0
ZA,M,70-79,2020-01-01,0,0,0,0
ZA,M,80+,2020-01-01,0,0,0,0
ZA,NC,60-69,2020-01-01,0,0,0,0
ZA,NC,70-79,2020-01-01,0,0,0,0
ZA,NC,80+,2020-01-01,0,0,0,0
A,H,60-69,2020-01-02,0,0,0,0
A,H,70-79,2020-01-02,0,0,0,0
A,H,80+,2020-01-02,0,0,0,0
A,M,60-69,2020-01-02,0,0,0,0
A,M,70-79,2020-01-02,0,0,0,0
A,M,80+,2020-01-02,0,0,0,0
A,NC,60-69,2020-01-02,0,0,0,0
A,NC,70-79,2020-01-02,0,0,0,0
A,NC,80+,2020-01-02,0,0,0,0
AB,H,60-69,2020-01-02,0,0,0,0
AB,H,70-79,2020-01-02,0,0,0,0
AB,H,80+,2020-01-02,0,0,0,0
AB,M,60-69,2020-01-02,0,0,0,0
AB,M,70-79,2020-01-02,0,0,0,0
AB,M,80+,2020-01-02,0,0,0,0
AB,NC,60-69,2020-01-02,0,0,0,0
AB,NC,70-79,2020-01-02,0,0,0,0
AB,NC,80+,2020-01-02,0,0,0,0
AL,H,60-69,2020-01-02,0,0,0,0
AL,H,70-79,2020-01-02,0,0,0,0
AL,H,80+,2020-01-02,0,0,0,0
AL,M,60-69,2020-01-02,0,0,0,0
AL,M,70-79,2020-01-02,0,1,0,0
AL,M,80+,2020-01-02,0,0,0,0
AL,NC,60-69,2020-01-02,0,0,0,0
AL,NC,70-79,2020-01-02,0,0,0,0
AL,NC,80+,2020-01-02,0,0,0,0
AV,H,60-69,2020-01-02,0,0,0,0
AV,H,70-79,2020-01-02,0,0,0,0
AV,H,80+,2020-01-02,0,0,0,0
AV,M,60-69,2020-01-02,0,0,0,0
AV,M,70-79,2020-01-02,0,0,0,0
AV,M,80+,2020-01-02,0,0,0,0
AV,NC,60-69,2020-01-02,0,0,0,0
AV,NC,70-79,2020-01-02,0,0,0,0
AV,NC,80+,2020-01-02,0,0,0,0
B,H,60-69,2020-01-02,0,1,0,0
B,H,70-79,2020-01-02,0,0,0,0
B,H,80+,2020-01-02,0,0,0,0
B,M,60-69,2020-01-02,0,0,0,0
B,M,70-79,2020-01-02,0,0,0,0
B,M,80+,2020-01-02,0,0,0,0
B,NC,60-69,2020-01-02,0,0,0,0
B,NC,70-79,2020-01-02,0,0,0,0
B,NC,80+,2020-01-02,0,0,0,0
BA,H,60-69,2020-01-02,0,0,0,0
BA,H,70-79,2020-01-02,0,0,0,0
BA,H,80+,2020-01-02,0,0,0,0
BA,M,60-69,2020-01-02,0,0,0,0
BA,M,70-79,2020-01-02,0,0,0,0
BA,M,80+,2020-01-02,0,0,0,0
